"filename","function","line_no","CEC"
"git/firezone/elixir/lib/portal_web/controllers/email_otp_controller.ex","sign_in",25,1
"git/firezone/elixir/lib/portal_web/controllers/email_otp_controller.ex","maybe_send_email_otp",116,2
"git/analytics/lib/plausible_web/two_factor/session.ex","get_2fa_user",34,1
"git/teslamate/lib/teslamate/log.ex","start_state",67,1
"git/teslamate/lib/teslamate/log.ex","create_current_state",93,2
"git/ash/lib/ash/actions/destroy/bulk.ex","do_atomic_destroy",707,2
"git/analytics/lib/plausible_web/live/change_domain.ex","run_detection",279,2
"git/firezone/elixir/lib/portal/types/protocol_ip_port.ex","cast",19,1
"git/firezone/elixir/lib/portal_api/plugs/auth.ex","call",13,1
"git/phoenix/lib/phoenix/verified_routes.ex","build_conn_forward_path",1058,1
"git/supavisor/lib/supavisor/client_authentication.ex","handle_wrong_password",86,3
"git/supavisor/lib/supavisor/client_authentication.ex","fetch_secrets_from_database",208,2
"git/firezone/elixir/lib/portal_api/gateway/channel.ex","decode_ref",522,1
"git/absinthe/lib/absinthe/schema/notation/sdl.ex","parse",13,2
"git/phoenix_live_view/lib/phoenix_live_view/test/live_view_test.ex","find_cid!",1366,1
"git/ash/lib/ash/actions/read/calculations.ex","calculate",31,1
"git/firezone/elixir/lib/portal_api/controllers/client_session_controller.ex","index",38,1
"git/firezone/elixir/lib/portal_api/controllers/client_session_controller.ex","show",64,1
"git/firezone/elixir/lib/portal/accounts/config.ex","validate_doh_provider_for_secure",156,1
